symbol,entry_time,exit_time,direction,conviction,spot_entry,spot_exit,strike,opt_type,entry_prem,exit_prem,sl_price,target_price,exit_reason,pnl_per_share,pnl_lot,pnl_pct,lot_cost,dte,sigma,vix,vix_rank
NIFTY,2024-05-31 10:15:00+05:30,2024-06-03 09:15:00+05:30,BUY PUT,HIGH,22530.8,23197.1,22500,PE,93.85,56.31,56.31,140.77,SL,-37.54,-2815.0,-40.0,7039.0,6,0.104,,
NIFTY,2024-06-03 10:15:00+05:30,2024-06-04 09:15:00+05:30,BUY CALL,HIGH,23175.3,22833.9,23250,CE,254.03,152.42,152.42,381.05,SL,-101.61,-7621.0,-40.0,19052.0,3,0.338,,
NIFTY,2024-06-07 10:15:00+05:30,2024-06-13 15:15:00+05:30,BUY CALL,HIGH,23075.85,23399.35,23150,CE,307.45,249.52,184.47,461.18,EXPIRY,-57.93,-4345.0,-18.8,23059.0,6,0.281,,
NIFTY,2024-06-14 10:15:00+05:30,2024-06-19 09:15:00+05:30,BUY CALL,HIGH,23448.9,23523.05,23500,CE,111.87,67.12,67.12,167.81,SL,-44.75,-3357.0,-40.0,8391.0,6,0.104,,
NIFTY,2024-06-21 10:15:00+05:30,2024-06-24 09:15:00+05:30,BUY CALL,HIGH,23529.05,23445.75,23600,CE,75.22,45.13,45.13,112.83,SL,-30.09,-2257.0,-40.0,5642.0,6,0.08,,
NIFTY,2024-06-24 14:15:00+05:30,2024-06-25 12:15:00+05:30,BUY CALL,HIGH,23545.95,23672.5,23600,CE,65.6,98.4,39.36,98.4,TARGET,32.8,2460.0,50.0,4920.0,3,0.099,,
NIFTY,2024-06-28 10:15:00+05:30,2024-06-28 14:15:00+05:30,BUY CALL,HIGH,24147.8,23989.2,24200,CE,112.94,67.76,67.76,169.41,SL,-45.18,-3388.0,-40.0,8470.0,6,0.102,,
NIFTY,2024-07-01 10:15:00+05:30,2024-07-03 09:15:00+05:30,BUY CALL,HIGH,24078.7,24267.85,24150,CE,78.97,118.46,47.38,118.46,TARGET,39.49,2961.0,50.0,5923.0,3,0.121,,
NIFTY,2024-07-05 10:15:00+05:30,2024-07-05 14:15:00+05:30,BUY CALL,HIGH,24233.2,24342.05,24300,CE,100.05,150.07,60.03,150.07,TARGET,50.02,3752.0,50.0,7503.0,6,0.096,,
NIFTY,2024-07-08 10:15:00+05:30,2024-07-08 15:15:00+05:30,BUY CALL,HIGH,24270.05,24331.05,24300,CE,64.26,96.39,38.56,96.39,TARGET,32.13,2410.0,50.0,4819.0,3,0.082,,
NIFTY,2024-07-12 10:15:00+05:30,2024-07-18 09:15:00+05:30,BUY CALL,HIGH,24538.25,24655.5,24600,CE,138.86,83.32,83.32,208.29,SL,-55.54,-4166.0,-40.0,10415.0,6,0.124,,
NIFTY,2024-07-19 10:15:00+05:30,2024-07-19 14:15:00+05:30,BUY CALL,HIGH,24661.55,24530.4,24700,CE,135.7,81.42,81.42,203.55,SL,-54.28,-4071.0,-40.0,10178.0,6,0.112,,
NIFTY,2024-07-22 10:15:00+05:30,2024-07-23 12:15:00+05:30,BUY PUT,HIGH,24532.05,24279.65,24500,PE,81.39,122.08,48.83,122.08,TARGET,40.69,3052.0,50.0,6104.0,3,0.115,,
NIFTY,2024-07-26 10:15:00+05:30,2024-07-26 14:15:00+05:30,BUY CALL,HIGH,24644.8,24849.05,24700,CE,205.13,307.69,123.08,307.69,TARGET,102.56,7692.0,50.0,15384.0,6,0.174,,
