date,direction,width_pct,entry,sl,target,exit,outcome,raw_move,pnl,win,P,R1,S1
2025-11-04,SHORT,0.22,12695.75,12724.25,12593.0,12645.0,EOD,50.75,452.5,True,12710.0,12799.0,12593.0
2025-11-06,LONG,0.101,12592.92,12579.75,12637.67,12637.42,TARGET,44.5,390.0,True,12586.33,12637.67,12547.67
2025-11-07,LONG,0.137,12617.25,12599.42,12660.67,12660.42,TARGET,43.17,376.67,True,12608.33,12660.67,12538.67
2025-11-10,LONG,0.09,12634.25,12622.42,12656.67,12656.42,TARGET,22.17,166.67,True,12628.33,12656.67,12588.67
2025-11-14,SHORT,0.055,13268.75,13276.58,13186.33,13276.83,SL,-8.08,-135.83,False,13272.67,13366.33,13186.33
2025-11-18,SHORT,0.077,12913.75,12924.25,12830.0,12830.25,TARGET,83.5,780.0,True,12919.0,12998.0,12830.0
2025-11-19,LONG,0.254,12864.92,12831.75,12956.67,12956.42,TARGET,91.5,860.0,True,12848.33,12956.67,12772.67
2025-11-20,LONG,0.003,12949.75,12948.92,13037.67,12948.67,SL,-1.08,-65.83,False,12949.33,13037.67,12860.67
2025-11-25,LONG,0.224,12982.75,12953.25,13031.0,13030.75,TARGET,48.0,425.0,True,12968.0,13031.0,12934.0
2025-11-26,LONG,0.211,13096.42,13068.25,13161.67,13161.42,TARGET,65.0,595.0,True,13082.33,13161.67,13030.67
2025-11-27,SHORT,0.023,13172.25,13175.75,13123.0,13176.0,SL,-3.75,-92.5,False,13174.0,13228.0,13123.0
2025-11-28,LONG,0.0,13173.25,13172.75,13196.0,13195.75,TARGET,22.5,170.0,True,13173.0,13196.0,13150.0
2025-12-01,LONG,0.276,13304.92,13267.75,13381.67,13381.42,TARGET,76.5,710.0,True,13286.33,13381.67,13227.67
2025-12-03,LONG,0.032,13484.08,13479.25,13542.33,13542.08,TARGET,58.0,525.0,True,13481.67,13542.33,13425.33
2025-12-04,SHORT,0.037,13561.25,13566.75,13529.0,13529.25,TARGET,32.0,265.0,True,13564.0,13604.0,13529.0
2025-12-05,LONG,0.062,13537.08,13528.25,13583.33,13583.08,TARGET,46.0,405.0,True,13532.67,13583.33,13490.33
2025-12-09,SHORT,0.0,13559.75,13560.25,13520.0,13520.25,TARGET,39.5,340.0,True,13560.0,13600.0,13520.0
2025-12-10,LONG,0.076,13556.08,13545.25,13590.33,13590.08,TARGET,34.0,285.0,True,13550.67,13590.33,13521.33
2025-12-15,LONG,0.283,13928.58,13888.75,14107.33,14107.08,TARGET,178.5,1730.0,True,13908.67,14107.33,13749.33
2025-12-16,SHORT,0.114,14070.75,14087.25,13990.0,14087.5,SL,-16.75,-222.5,False,14079.0,14184.0,13990.0
2025-12-17,LONG,0.151,14113.58,14091.75,14189.33,14126.0,EOD,12.42,69.17,True,14102.67,14189.33,14037.33
2025-12-18,LONG,0.031,14145.08,14140.25,14184.33,14140.0,SL,-5.08,-105.83,False,14142.67,14184.33,14105.33
